frequency_hz,level_db
20.51,-66.98
23.44,-67.67
26.37,-64.38
29.30,-63.13
32.23,-65.41
35.16,-63.28
38.09,-63.01
41.02,-64.60
43.95,-67.22
46.88,-63.75
49.80,-63.93
52.73,-69.61
55.66,-66.97
58.59,-66.63
61.52,-69.92
64.45,-70.15
67.38,-67.04
70.31,-70.34
73.24,-72.71
76.17,-74.49
79.10,-75.07
82.03,-67.52
84.96,-63.46
87.89,-61.28
90.82,-59.87
93.75,-55.67
96.68,-54.54
99.61,-51.72
102.54,-48.97
105.47,-46.85
108.40,-44.99
111.33,-42.94
114.26,-42.67
117.19,-42.76
120.12,-43.83
123.05,-44.15
125.98,-43.98
128.91,-43.06
131.84,-43.16
134.77,-43.03
137.70,-43.88
140.63,-43.78
143.55,-44.06
146.48,-43.27
149.41,-43.52
152.34,-43.71
155.27,-42.55
158.20,-41.96
161.13,-41.68
164.06,-40.23
166.99,-40.35
169.92,-39.21
172.85,-41.07
175.78,-39.70
178.71,-40.27
181.64,-38.16
184.57,-37.10
187.50,-35.72
190.43,-38.56
193.36,-34.74
196.29,-32.32
199.22,-31.29
202.15,-33.68
205.08,-36.58
208.01,-36.49
210.94,-39.29
213.87,-41.90
216.80,-42.31
219.73,-44.82
222.66,-45.77
225.59,-46.67
228.52,-43.59
231.45,-44.03
234.38,-44.52
237.30,-50.16
240.23,-53.01
243.16,-56.48
246.09,-49.97
249.02,-46.44
251.95,-45.02
254.88,-45.65
257.81,-49.78
260.74,-50.64
263.67,-49.37
266.60,-50.04
269.53,-47.40
272.46,-52.20
275.39,-50.86
278.32,-48.92
281.25,-48.10
284.18,-45.58
287.11,-49.40
290.04,-50.49
292.97,-47.97
295.90,-46.61
298.83,-45.60
301.76,-44.59
304.69,-46.20
307.62,-45.83
310.55,-49.97
313.48,-50.29
316.41,-48.85
319.34,-51.20
322.27,-53.61
325.20,-54.95
328.13,-53.02
331.05,-55.51
333.98,-57.80
336.91,-54.20
339.84,-53.01
342.77,-54.91
345.70,-59.39
348.63,-59.17
351.56,-56.27
354.49,-53.58
357.42,-57.63
360.35,-51.71
363.28,-50.71
366.21,-48.65
369.14,-51.51
372.07,-54.72
375.00,-53.92
377.93,-52.19
380.86,-51.45
383.79,-54.60
386.72,-57.59
389.65,-52.03
392.58,-50.32
395.51,-49.67
398.44,-48.11
401.37,-50.42
404.30,-48.52
407.23,-49.62
410.16,-50.61
413.09,-48.45
416.02,-51.62
418.95,-54.13
421.88,-50.58
424.80,-55.48
427.73,-59.63
430.66,-51.43
433.59,-53.67
436.52,-62.40
439.45,-54.23
442.38,-53.66
445.31,-58.56
448.24,-59.88
451.17,-58.66
454.10,-61.45
457.03,-66.54
459.96,-59.42
462.89,-58.28
465.82,-65.97
468.75,-58.91
471.68,-56.97
474.61,-56.23
477.54,-59.51
480.47,-59.77
483.40,-57.21
486.33,-57.04
489.26,-61.24
492.19,-59.83
495.12,-60.55
498.05,-56.60
500.98,-57.28
503.91,-57.59
506.84,-53.73
509.77,-53.76
512.70,-53.06
515.63,-53.21
518.55,-52.73
521.48,-55.83
524.41,-60.54
527.34,-60.99
530.27,-63.10
533.20,-62.24
536.13,-62.60
539.06,-64.13
541.99,-63.15
544.92,-63.27
547.85,-61.99
550.78,-60.98
553.71,-62.37
556.64,-60.77
559.57,-61.26
562.50,-62.68
565.43,-63.46
568.36,-64.11
571.29,-63.69
574.22,-63.92
577.15,-67.12
580.08,-70.41
583.01,-67.05
585.94,-64.97
588.87,-70.40
591.80,-64.77
594.73,-67.31
597.66,-67.49
600.59,-65.44
603.52,-63.31
606.45,-61.96
609.38,-60.62
612.30,-63.73
615.23,-62.56
618.16,-59.64
621.09,-62.58
624.02,-61.71
626.95,-60.37
629.88,-63.63
632.81,-64.91
635.74,-62.96
638.67,-62.72
641.60,-61.01
644.53,-58.82
647.46,-60.71
650.39,-61.18
653.32,-61.42
656.25,-61.11
659.18,-59.79
662.11,-59.42
665.04,-59.28
667.97,-59.51
670.90,-60.10
673.83,-60.66
676.76,-63.49
679.69,-63.34
682.62,-65.27
685.55,-61.84
688.48,-61.97
691.41,-64.60
694.34,-63.79
697.27,-66.16
700.20,-64.89
703.13,-64.05
706.05,-62.34
708.98,-59.20
711.91,-57.21
714.84,-58.91
717.77,-59.10
720.70,-59.55
723.63,-62.59
726.56,-61.20
729.49,-60.41
732.42,-61.65
735.35,-64.68
738.28,-65.82
741.21,-65.45
744.14,-64.22
747.07,-62.35
750.00,-65.25
752.93,-65.01
755.86,-63.94
758.79,-64.93
761.72,-65.75
764.65,-62.04
767.58,-62.53
770.51,-62.82
773.44,-63.34
776.37,-63.40
779.30,-65.22
782.23,-66.77
785.16,-68.00
788.09,-64.49
791.02,-65.50
793.95,-65.02
796.88,-64.43
799.80,-65.33
802.73,-64.37
805.66,-62.88
808.59,-64.44
811.52,-63.98
814.45,-62.76
817.38,-62.94
820.31,-63.33
823.24,-64.78
826.17,-67.42
829.10,-68.12
832.03,-66.13
834.96,-65.00
837.89,-65.62
840.82,-65.92
843.75,-66.17
846.68,-67.56
849.61,-64.48
852.54,-64.50
855.47,-63.89
858.40,-62.39
861.33,-62.76
864.26,-62.75
867.19,-63.17
870.12,-63.36
873.05,-63.40
875.98,-64.16
878.91,-63.57
881.84,-63.95
884.77,-65.16
887.70,-63.76
890.63,-62.95
893.55,-62.13
896.48,-61.10
899.41,-61.38
902.34,-62.03
905.27,-62.44
908.20,-64.47
911.13,-65.40
914.06,-66.69
916.99,-68.79
919.92,-70.37
922.85,-71.76
925.78,-73.09
928.71,-68.22
931.64,-69.30
934.57,-65.20
937.50,-64.00
940.43,-65.86
943.36,-66.61
946.29,-70.45
949.22,-70.86
952.15,-74.18
955.08,-75.73
958.01,-73.16
960.94,-74.22
963.87,-76.68
966.80,-73.25
969.73,-73.58
972.66,-72.91
975.59,-69.39
978.52,-71.24
981.45,-69.93
984.38,-69.24
987.30,-71.05
990.23,-72.05
993.16,-72.78
996.09,-71.83
999.02,-70.21
1001.95,-67.70
1004.88,-69.61
1007.81,-69.07
1010.74,-68.93
1013.67,-69.71
1016.60,-67.64
1019.53,-66.80
1022.46,-65.37
1025.39,-64.98
1028.32,-64.09
1031.25,-65.60
1034.18,-63.90
1037.11,-65.90
1040.04,-68.07
1042.97,-69.38
1045.90,-75.98
1048.83,-75.07
1051.76,-72.47
1054.69,-71.53
1057.62,-72.14
1060.55,-72.97
1063.48,-74.10
1066.41,-73.67
1069.34,-73.30
1072.27,-75.76
1075.20,-78.31
1078.13,-77.40
1081.05,-78.65
1083.98,-79.23
1086.91,-79.28
1089.84,-78.92
1092.77,-80.22
1095.70,-84.87
1098.63,-89.30
1101.56,-82.26
1104.49,-79.51
1107.42,-74.31
1110.35,-73.90
1113.28,-76.53
1116.21,-73.20
1119.14,-72.69
1122.07,-74.39
1125.00,-70.62
1127.93,-71.08
1130.86,-71.94
1133.79,-71.64
1136.72,-72.71
1139.65,-73.12
1142.58,-73.67
1145.51,-73.08
1148.44,-75.35
1151.37,-80.29
1154.30,-81.91
1157.23,-80.73
1160.16,-83.07
1163.09,-83.15
1166.02,-78.84
1168.95,-84.87
1171.88,-84.14
1174.80,-79.16
1177.73,-82.56
1180.66,-84.68
1183.59,-80.92
1186.52,-82.53
1189.45,-82.47
1192.38,-86.53
1195.31,-84.90
1198.24,-78.76
1201.17,-73.28
1204.10,-72.61
1207.03,-75.76
1209.96,-77.70
1212.89,-78.86
1215.82,-85.40
1218.75,-78.78
1221.68,-77.32
1224.61,-87.34
1227.54,-86.59
1230.47,-79.20
1233.40,-78.17
1236.33,-76.61
1239.26,-79.30
1242.19,-75.18
1245.12,-75.14
1248.05,-76.95
1250.98,-74.63
1253.91,-75.04
1256.84,-74.54
1259.77,-74.02
1262.70,-76.74
1265.63,-75.94
1268.55,-77.08
1271.48,-87.09
1274.41,-81.76
1277.34,-77.34
1280.27,-78.03
1283.20,-77.69
1286.13,-80.04
1289.06,-77.80
1291.99,-79.85
1294.92,-91.07
1297.85,-83.34
1300.78,-81.60
1303.71,-80.96
1306.64,-81.54
1309.57,-81.09
1312.50,-79.71
1315.43,-79.49
1318.36,-78.90
1321.29,-76.00
1324.22,-79.64
1327.15,-78.18
1330.08,-77.75
1333.01,-80.00
1335.94,-79.05
1338.87,-82.40
1341.80,-78.42
1344.73,-74.78
1347.66,-79.29
1350.59,-82.04
1353.52,-78.77
1356.45,-81.08
1359.38,-78.91
1362.30,-76.50
1365.23,-76.17
1368.16,-74.27
1371.09,-76.47
1374.02,-76.34
1376.95,-76.90
1379.88,-77.62
1382.81,-78.65
1385.74,-76.27
1388.67,-76.91
1391.60,-76.59
1394.53,-77.11
1397.46,-78.36
1400.39,-74.59
1403.32,-76.75
1406.25,-79.46
1409.18,-76.68
1412.11,-80.72
1415.04,-83.88
1417.97,-83.02
1420.90,-83.21
1423.83,-82.28
1426.76,-83.14
1429.69,-78.54
1432.62,-78.37
1435.55,-77.37
1438.48,-77.89
1441.41,-81.28
1444.34,-79.77
1447.27,-81.96
1450.20,-84.10
1453.13,-77.50
1456.05,-78.58
1458.98,-83.21
1461.91,-79.36
1464.84,-81.37
1467.77,-80.47
1470.70,-80.73
1473.63,-81.11
